Rank,Title,Author,Rating,Number of Ratings,Date,Description,Reviews,Pages,Cover Type,Score,Genres
234,The Velveteen Rabbit,Margery Williams Bianco,4.31,"262,204","First published January 1, 1922","Nursery magic is very strange and wonderful, and only those playthings that are old and wise and experienced like the Skin Horse understand all about it.","5,106",40,Paperback,"71,647","Classics, Childrens, Fiction, Picture Books, Fantasy, Animals, Young Adult"
231,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.13,"951,125","First published January 3, 2012","Humans and androids crowd the raucous streets of New Beijing. A deadly plague ravages the population. From space, a ruthless Lunar people watch, waiting to make their move. No one knows that Earth’s fate hinges on one girl. . . . Cinder, a gifted mechanic, is a cyborg. ","71,588",400,Hardcover,"72,644","Fantasy, Young Adult, Science Fiction, Romance, Retellings, Fiction, Dystopia"
230,Schindler’s List,Thomas Keneally,4.34,"161,783","First published October 18, 1982","In the shadow of Auschwitz, a flamboyant German industrialist grew into a living legend to the Jews of Cracow. He was a womaniser and a heavy drinker who enjoyed the good life, yet to them he became a saviour.","3,068",429,Mass Market Paperback,"72,658","History, Nonfiction, Holocaust, War, Historical, World War II, Biography"
229,"Shōgun (Asian Saga, #1)",James Clavell,4.41,"191,951","First published January 1, 1975","After Englishman John Blackthorne is lost at sea, he awakens in a place few Europeans know of and even fewer have seen--Nippon. Thrust into the closed society that is seventeenth-century Japan, a land where the line between life and death is razor-thin, Blackthorne must negotiate not only a foreign people, with unknown customs and language, but also his own definitions of morality, truth, and freedom. As internal political strife and a clash of cultures lead to seemingly inevitable conflict, Blackthorne's loyalty and strength of character are tested by both passion and loss, and he is torn between two worlds that will each be forever changed.","7,143",1152,Paperback,"72,909","Historical Fiction, Fiction, Japan, Historical, Classics, Adventure, Audiobook"
228,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,3.54,"603,865","First published September 29, 1995","Gregory Maguire is an American author, whose novels are revisionist retellings of children's stories (such as L. Frank Baum's ","27,172",406,Paperback,"73,122","Fantasy, Fiction, Adult, Retellings, Witches, Science Fiction Fantasy, Adult Fiction"
223,Thirteen Reasons Why,Jay Asher,3.84,"988,404","First published October 18, 2007","Clay Jensen returns home from school to find a strange package with his name on it lying on his porch. Inside he discovers several cassette tapes recorded by Hannah Baker–his classmate and crush–who committed suicide two weeks earlier. Hannah’s voice tells him that there are thirteen reasons why she decided to end her life. Clay is one of them. If he listens, he’ll find out why. ","57,189",352,Hardcover,"76,876","Young Adult, Fiction, Contemporary, Realistic Fiction, Mystery, Mental Health, Teen"
226,The Green Mile,Stephen         King,4.48,"331,301","First published January 1, 1996","At Cold Mountain Penitentiary, along the lonely stretch of cells known as the Green Mile, condemned killers such as 'Billy the Kid' Wharton and the possessed Eduard Delacroix await death strapped in 'Old Sparky'. But good or evil, innocent or guilty, prisoner or guard, none has ever seen the brutal likes of the new prisoner, John Coffey, sentenced to death for raping and murdering two young girls. Is Coffey a devil in human form? Or is he a far, far different kind of being?","13,678",592,Paperback,"74,070","Horror, Fiction, Fantasy, Thriller, Mystery, Classics, Crime"
225,His Dark Materials (His Dark Materials #1-3),Philip Pullman,4.29,"163,714","First published November 1, 2000","The Golden Compass, The Subtle Knife, and The Amber Spyglass are available together in one volume perfect for any fan or newcomer to this modern fantasy classic series.","5,785",1088,Mass Market Paperback,"74,437","Fantasy, Fiction, Young Adult, Childrens, Science Fiction Fantasy, Science Fiction, Classics"
227,"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,4.42,"562,670","First published December 6, 2011","In the magical underworld of Victorian London, Tessa Gray has at last found safety with the Shadowhunters. But that safety proves fleeting when rogue forces in the Clave plot to see her protector, Charlotte, replaced as head of the Institute. If Charlotte loses her position, Tessa will be out on the street—and easy prey for the mysterious Magister, who wants to use Tessa’s powers for his own dark ends.","32,239",498,Hardcover,"73,355","Fantasy, Young Adult, Romance, Paranormal, Steampunk, Historical Fiction, Urban Fantasy"
224,The Chain Between Worlds (The Lost Artefacts #1),Johnathon Nicolaou,4.46,"1,344","First published September 28, 2021",Runner up in the 2021 TCK Publishing Reader’s Choice Awards: Fantasy Genre,82,335,ebook,"75,213","Fantasy, Young Adult, Urban Fantasy, Fiction, Young Adult Fantasy, Science Fiction, Novels"
221,The World According to Garp,John Irving,4.10,"231,591","First published April 24, 1978","This is the life and times of T. S. Garp, the bastard son of Jenny Fields—a feminist leader ahead of her times. This is the life and death of a famous mother and her almost-famous son; theirs is a world of sexual extremes—even of sexual assassinations. It is a novel rich with ""lunacy and sorrow""; yet the dark, violent events of the story do not undermine a comedy both ribald and robust. In more than thirty languages, in more than forty countries—with more than ten million copies in print—this novel provides almost cheerful, even hilarious evidence of its famous last line: ""In the world according to Garp, we are all terminal cases.""","7,004",610,Hardcover,"77,194","Fiction, Classics, Literature, Contemporary, Novels, Literary Fiction, Humor"
220,David Copperfield,Charles Dickens,4.03,"243,872","First published November 1, 1850","David Copperfield is the story of a young man's adventures on his journey from an unhappy and impoverished childhood to the discovery of his vocation as a successful novelist. Among the gloriously vivid cast of characters he encounters are his tyrannical stepfather, Mr Murdstone; his brilliant, but ultimately unworthy school-friend James Steerforth; his formidable aunt, Betsey Trotwood; the eternally humble, yet treacherous Uriah Heep; frivolous, enchanting Dora Spenlow; and the magnificently impecunious Wilkins Micawber, one of literature's great comic creations. In David Copperfield - the novel he described as his 'favourite child' - Dickens drew revealingly on his own experiences to create one of the most exuberant and enduringly popular works, filled with tragedy and comedy in equal measure. This edition uses the text of the first volume publication of 1850, and includes updated suggestions for further reading, original illustrations by 'Phiz', a revised chronology and expanded notes. In his new introduction, Jeremy Tambling discusses the novel's autobiographical elements, and its central themes of memory and identity.","10,497",882,Paperback,"77,753","Fiction, Literature, Historical Fiction, 19th Century, Audiobook, Novels, Victorian"
222,A Little Princess,Frances Hodgson Burnett,4.22,"311,218","First published January 1, 1905","Sara Crewe, an exceptionally intelligent and imaginative student at Miss Minchin's Select Seminary for Young Ladies, is devastated when her adored, indulgent father dies. Now penniless and banished to a room in the attic, Sara is demeaned, abused, and forced to work as a servant. How this resourceful girl's fortunes change again is at the center of A Little Princess , one of the best-loved stories in all of children's literature.","10,330",242,Paperback,"77,051","Classics, Fiction, Childrens, Young Adult, Historical Fiction, Middle Grade, Historical"
